title,type,location,area_of_apt,no_of_bedrooms,no_of_bathrooms,Amenities,price,link
بمقدم10% وتقسيط علي 10 سنوات امتلك شقتك في العاصمه,Apartment,"Armonia, New Capital Compounds, New Capital City, Cairo",76,1,1,"['Maids Room', 'Central A/C', 'Balcony', 'Covered Parking', 'Built in Wardrobes', 'Kitchen Appliances']",4220000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-armonia-7571691.html
"Standalone for sale in La Vista City Compound,",Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",449,5,6,"['Maids Room', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark']",40000000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7571599.html
Standalone Villa in Sarai New Cairo – 212 SQM ,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",212,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",10917000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7571136.html
تاون هاوس 150م للبيع في سراي بنظام تقسيط مريح,Townhouse,"La Vista City, New Capital Compounds, New Capital City, Cairo",150,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",10260000,https://www.propertyfinder.eg/en/plp/buy/townhouse-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7571135.html
Pay only 1.4M &amp; get a Finished Villa at La Vista!!,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",230,4,4,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",26960000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7570764.html
For Sale: 220 m² Apartment in Midtown Condo       ,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",220,3,3,"['Balcony', 'Security']",7000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7570557.html
WITH INST UP TO 10Y OWN YOUR GROUND APARTMENT ,Apartment,"La Vista City, New Capital Compounds, New Capital City, Cairo",158,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",12000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7570476.html
Twin house for sale in La Vista City Ready to Move,Twin House,"La Vista City, New Capital Compounds, New Capital City, Cairo",280,3,4,"['Maids Room', 'Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet']",20000000,https://www.propertyfinder.eg/en/plp/buy/twin-house-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7570304.html
شقه متشطبه بالكامل مطابخ لمبورجيني (3غرف +3 حمام ),Apartment,"Atika, New Capital Compounds, New Capital City, Cairo",151,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Shared Spa', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet']",5827000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-atika-7570257.html
Luxury Apartment 225 m² 3BR | DP 10% | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",225,3,3,"['Balcony', 'Security', 'View of Landmark']",12147710,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7570226.html
Standalone  Ready to Move - midtown new capital,Villa,"Midtown, New Capital Compounds, New Capital City, Cairo",300,3,5,"['Study', 'Balcony', 'Security', 'Covered Parking', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",18500000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-7570150.html
Luxury Apartment 130m²| Land 115m²| DP 891 K | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",130,2,1,"['Balcony', 'Security', 'View of Landmark']",8916450,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569994.html
Luxury Apartment 250m² | Land 220m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",250,3,3,"['Balcony', 'Security', 'View of Landmark']",14926220,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569993.html
Luxury Apartment 230m² | Land 235m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",230,3,3,"['Balcony', 'Security', 'View of Landmark']",15212994,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569990.html
Luxury Apartment 260m² | Land 75m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",260,3,3,"['Balcony', 'Security', 'View of Landmark']",12768707,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569988.html
Luxury Apartment 215 m² 3BR | DP 10% | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",215,3,3,"['Balcony', 'Security', 'View of Landmark']",10364118,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569989.html
Luxury Apartment 225m² | Land 70m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",225,3,3,"['Balcony', 'Security', 'View of Landmark']",12759633,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569987.html
Luxury Apartment 250m² 3BR | DP 10% | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",250,3,3,"['Balcony', 'Security', 'View of Landmark']",12051300,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569854.html
Luxury Apartment 210 m² 3BR | DP 10% | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",210,3,3,"['Balcony', 'Security', 'View of Landmark']",10123092,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569852.html
Luxury Apartment 260 m² 3BR | DP 10% | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",260,3,3,"['Balcony', 'Security', 'View of Landmark']",11973037,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569853.html
Luxury Apartment 230 m² 3BR | DP 10% | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",230,3,3,"['Balcony', 'Security', 'View of Landmark']",11921997,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569851.html
Luxury Apartment 170m² | Land 130m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",170,3,2,"['Balcony', 'Security', 'View of Landmark']",10090199,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569848.html
Luxury Apartment 195m² | Land 65m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",195,3,3,"['Balcony', 'Security', 'View of Landmark']",10419885,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569847.html
Luxury Apartment 180m² | Land 95m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",180,3,2,"['Balcony', 'Security', 'View of Landmark']",10011369,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569849.html
Luxury Apartment 300m² | Land 125m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",300,4,3,"['Balcony', 'Security', 'View of Landmark']",17516446,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569846.html
Luxury Apartment 200m² | Land 65m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",200,3,3,"['Balcony', 'Security', 'View of Landmark']",11674732,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569843.html
Luxury Apartment 210 m² 3BR | DP 10% | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",210,3,3,"['Balcony', 'Security', 'View of Landmark']",12680803,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569842.html
Luxury Apartment 130 m² 2BR | DP 696 K | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",130,2,1,"['Balcony', 'Security', 'View of Landmark']",6959697,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569845.html
Luxury Apartment 210m² | Land 75m² | DP 10% | 8 Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",210,3,3,"['Balcony', 'Security', 'View of Landmark']",11887969,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569841.html
Luxury Apartment 215 m² 3BR | DP 10% | 8 years,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",215,3,3,"['Balcony', 'Security', 'View of Landmark']",11607812,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7569840.html
RESALE Villa With Very Special Price Ready To Move,Villa,"La Vista City, New Capital Compounds, New Capital City, Cairo",334,3,5,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Shared Gym']",23500000,https://www.propertyfinder.eg/en/plp/buy/villa-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7569728.html
Own Apartment Wide View Install.8 years in Lumia,Apartment,"Lumia Residence, R7, New Capital City, Cairo",163,3,2,"['Study', 'Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",6155000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7569438.html
Pay 10% DP And Own Apartment Wide View  in Lumia,Apartment,"Lumia Residence, R7, New Capital City, Cairo",163,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Built in Wardrobes', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",6155000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7569422.html
Apartment for sale in IL Patio Oro with DP 20% RTM,Apartment,"La Vista City, New Capital Compounds, New Capital City, Cairo",168,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",16000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-la-vista-city-7569314.html
With 5%Disc And Install. 8Y Own Apartment in Lumia,Apartment,"Lumia Residence, R7, New Capital City, Cairo",198,3,3,"['Study', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",8150000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7569180.html
Apartment for sale in Lumia Compound View lagoon,Apartment,"Lumia Residence, R7, New Capital City, Cairo",220,4,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",9711000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-r7-lumia-residence-7568976.html
Very HOT deal for residential Investment,Apartment,"ION, New Capital Compounds, New Capital City, Cairo",168,3,3,"['Balcony', 'Shared Pool', 'Security', 'Covered Parking']",6200000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ion-7568480.html
شقة 161م في كمبوند كابيتال جاردنز في حدائق العاصمة,Apartment,"New Capital City, Cairo",161,3,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",3800000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-7568473.html
شقه للبيع في كومباوند اللؤلؤه بسعر لقطه,Apartment,"RI8 New Capital, New Capital Compounds, New Capital City, Cairo",160,3,2,"['Private Garden', 'Security', 'View of Landmark', 'Lobby in Building']",2500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-ri8-new-capital-7568315.html
PRIME LOCATION - MARKET PRICE - READY TO MOVE,Apartment,"IL Bosco, New Capital Compounds, New Capital City, Cairo",147,3,3,"['Balcony', 'Private Garden', 'Security', 'Covered Parking', 'Shared Gym']",5000000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-il-bosco-7568031.html
شقة 158 م في كمبوند سيليا العاصمة الإدارية الجديدة,Apartment,"New Capital Compounds, New Capital City, Cairo",158,3,3,['Balcony'],10500000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-7567923.html
 Villa - 400m Ready to Move in Midtown Solo ,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",400,5,5,"['Study', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Built in Wardrobes', 'Walk-in Closet', 'View of Water', 'View of Landmark']",24212250,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7567728.html
Get Apartment with Garden + cash price in Midtown,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",180,3,2,"['Study', 'Balcony', 'Private Garden', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building']",4501515,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7567440.html
Your Apartment in New Capital over 10 years,Apartment,"Entrada, New Capital Compounds, New Capital City, Cairo",120,2,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'Walk-in Closet', 'View of Water', 'Shared Gym', ""Children's Pool""]",6065000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-entrada-7567414.html
apartment ready to move el maqsed new capital     ,Apartment,"Al Maqsad, New Capital Compounds, New Capital City, Cairo",158,2,3,"['Maids Room', 'Study', 'Central A/C', 'Balcony', 'Private Garden', 'Private Pool', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking']",5700000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-al-maqsad-7567413.html
"Prime Location, Lowest Price – New Capital",Apartment,"Entrada, New Capital Compounds, New Capital City, Cairo",117,2,2,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Covered Parking', 'View of Water', 'Shared Gym', ""Children's Pool""]",5356000,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-entrada-7567137.html
Get Apartment Now Prime Location and  install. 5Y,Apartment,"Midtown Condo, New Capital Compounds, New Capital City, Cairo",210,3,3,"['Balcony', 'Shared Pool', 'Shared Spa', 'Security', 'Walk-in Closet', 'View of Landmark', 'Shared Gym', 'Lobby in Building', ""Children's Pool""]",8657643,https://www.propertyfinder.eg/en/plp/buy/apartment-for-sale-cairo-new-capital-city-new-capital-compounds-midtown-condo-7567027.html
